"Tipo_de_Ensamblaje","Turno_de_Produccion","Calidad_del_Ensamblaje","Metodo_de_Ensamblaje","Tiempo_de_Ensamblaje_horas","Numero_de_Trabajadores","Costo_del_Ciclo_de_Ensamblaje_USD","Produccion_Diaria","Tiempo_de_Inactividad_horas"
"Ensamblaje de chasis","Turno de mañana","Aceptable","Semiautomático",3.75857525924221,7,4607.38210845739,141,0.944086492527276
"Ensamblaje de chasis","Turno de tarde","Buena","Automático",3.01664860500023,1,3898.85865885299,116,0.437488270923495
"Ensamblaje de chasis","Turno de tarde","Excelente","Manual",2.93635131791234,6,3339.49965867214,197,0.701066807610914
"Ensamblaje de chasis","Turno de noche","Excelente","Automático",1.62485636398196,4,4074.8929270776,119,0.17584789195098
"Ensamblaje de motor","Turno de tarde","Aceptable","Manual",2.44185320730321,7,4655.95908043906,163,0.2419748227112
"Ensamblaje de motor","Turno de noche","Aceptable","Automático",3.95955574978143,10,1240.10964378249,148,0.0236831828951836
"Ensamblaje de motor","Turno de noche","Excelente","Manual",3.97935954318382,8,1367.97774967272,189,0.328771048691124
"Ensamblaje de chasis","Turno de tarde","Buena","Semiautomático",2.35232210974209,3,939.391994732432,175,0.413091425551102
"Ensamblaje de interior","Turno de mañana","Excelente","Semiautomático",3.14454635838047,4,4230.99227924831,187,0.108754555694759
"Ensamblaje de interior","Turno de mañana","Buena","Automático",1.94968483760022,7,4126.38781033456,187,0.852052260190248
"Ensamblaje de chasis","Turno de tarde","Excelente","Automático",3.50106268189847,8,1756.71493844129,129,0.00905993860214949
"Ensamblaje de chasis","Turno de mañana","Buena","Semiautomático",2.30192674463615,8,2520.63310577068,185,0.969763528788462
"Ensamblaje de motor","Turno de tarde","Deficiente","Manual",3.98797677457333,3,3316.45418272819,193,0.804646692238748
"Ensamblaje de motor","Turno de noche","Excelente","Semiautomático",3.4174336399883,9,2169.14637293667,150,0.501039718743414
"Ensamblaje de motor","Turno de tarde","Aceptable","Manual",2.45872650225647,7,2220.43526777998,173,0.934179139090702
"Ensamblaje de interior","Turno de tarde","Deficiente","Automático",2.61631600279361,2,4615.16394384671,132,0.4678522227332
"Ensamblaje de interior","Turno de tarde","Buena","Automático",2.02311972505413,7,2256.33989600465,106,0.510976795805618
"Ensamblaje de chasis","Turno de tarde","Aceptable","Semiautomático",1.1560468133539,5,816.321917576715,124,0.832221796736121
"Ensamblaje de chasis","Turno de tarde","Buena","Automático",2.37616933952086,5,3683.77974850591,123,0.160649597644806
"Ensamblaje de interior","Turno de noche","Buena","Automático",2.49446977116168,8,3618.48566262051,165,0.521361524937674
"Ensamblaje de chasis","Turno de tarde","Buena","Semiautomático",1.84829267580062,4,932.662805891596,135,0.433566746301949
"Ensamblaje de interior","Turno de noche","Deficiente","Manual",3.32933524716645,2,666.064532939345,151,0.33181808446534
"Ensamblaje de chasis","Turno de tarde","Deficiente","Semiautomático",1.9115582855884,7,2304.23054413404,107,0.448023750912398
"Ensamblaje de chasis","Turno de tarde","Aceptable","Semiautomático",2.54665354592726,1,551.917513483204,177,0.0411673602648079
"Ensamblaje de motor","Turno de noche","Excelente","Automático",2.43385231960565,10,3055.50957156811,116,0.243364050751552
"Ensamblaje de interior","Turno de tarde","Aceptable","Manual",3.30655667372048,3,4752.27466644719,157,0.103169655892998
"Ensamblaje de motor","Turno de tarde","Excelente","Semiautomático",1.49178656702861,8,2044.85979769379,136,0.363130947807804
"Ensamblaje de chasis","Turno de mañana","Aceptable","Automático",2.32532244967297,3,1600.24225944653,116,0.657742032548413
"Ensamblaje de motor","Turno de mañana","Buena","Semiautomático",2.57022300921381,2,2937.54639837425,179,0.425039657158777
"Ensamblaje de motor","Turno de tarde","Excelente","Manual",2.43075756588951,10,1029.66970088892,195,0.0721925953403115
"Ensamblaje de interior","Turno de tarde","Buena","Semiautomático",2.57392986328341,3,2187.0880483184,151,0.687141191447154
"Ensamblaje de interior","Turno de mañana","Deficiente","Semiautomático",3.05568474158645,4,1973.80002588034,124,0.852786028059199
"Ensamblaje de motor","Turno de noche","Buena","Manual",2.05537606636062,6,4762.4258804135,166,0.86721755284816
"Ensamblaje de motor","Turno de mañana","Buena","Manual",3.51889385585673,10,4597.58710546885,113,0.0890818594489247
"Ensamblaje de motor","Turno de tarde","Excelente","Semiautomático",3.7657410746906,2,3931.00121966563,172,0.0130381132476032
"Ensamblaje de motor","Turno de tarde","Aceptable","Automático",1.31892886408605,8,3911.33712290321,155,0.42325607012026
"Ensamblaje de chasis","Turno de tarde","Deficiente","Automático",1.61958675435744,1,4993.2087546913,143,0.973258450627327
"Ensamblaje de chasis","Turno de tarde","Buena","Semiautomático",2.45992873539217,7,3111.8063214235,154,0.499068087665364
"Ensamblaje de motor","Turno de noche","Buena","Semiautomático",1.97146607143804,5,1459.77881643921,172,0.994652604451403
"Ensamblaje de motor","Turno de noche","Excelente","Semiautomático",2.41514177503996,2,1100.98354285583,187,0.494881821796298
"Ensamblaje de interior","Turno de tarde","Aceptable","Manual",2.75826550624333,5,4065.27042260859,166,0.123035601340234
"Ensamblaje de interior","Turno de mañana","Aceptable","Semiautomático",1.67185003776103,5,4918.57626789715,135,0.560385761549696
"Ensamblaje de chasis","Turno de tarde","Buena","Manual",3.20208916021511,10,4919.21956639271,134,0.239292526850477
"Ensamblaje de chasis","Turno de mañana","Aceptable","Automático",1.45145229715854,1,1064.49563789647,138,0.725250527728349
"Ensamblaje de motor","Turno de tarde","Excelente","Manual",3.09266010066494,2,3282.2831479134,196,0.786027395166457
"Ensamblaje de motor","Turno de mañana","Aceptable","Semiautomático",1.79232371458784,6,4361.84061900713,159,0.449781885603443
"Ensamblaje de motor","Turno de mañana","Aceptable","Semiautomático",2.27939476678148,1,1127.24391138181,136,0.469079919159412
"Ensamblaje de motor","Turno de mañana","Deficiente","Automático",3.16400072001852,2,2149.61234654766,185,0.401860023848712
"Ensamblaje de motor","Turno de noche","Excelente","Automático",2.42341512138955,7,1207.08602236118,103,0.902375512057915
"Ensamblaje de interior","Turno de tarde","Deficiente","Semiautomático",2.0157608827576,2,2515.27925417759,128,0.563688409747556
"Ensamblaje de motor","Turno de tarde","Buena","Manual",1.72177641652524,3,2686.43560679629,190,0.690996676450595
"Ensamblaje de chasis","Turno de tarde","Buena","Semiautomático",1.64877903368324,4,4775.91368171852,107,0.332274236949161
"Ensamblaje de motor","Turno de mañana","Excelente","Semiautomático",1.72617435711436,10,4571.39246049337,143,0.0948641062714159
"Ensamblaje de interior","Turno de mañana","Buena","Automático",2.69471401907504,9,4730.74115801137,143,0.937903824262321
"Ensamblaje de motor","Turno de noche","Aceptable","Automático",3.13770426670089,8,3980.71956483182,111,0.671019063796848
"Ensamblaje de motor","Turno de tarde","Excelente","Manual",1.32428979384713,4,914.949435740709,108,0.0149940915871412
"Ensamblaje de motor","Turno de tarde","Buena","Semiautomático",2.55722762062214,7,573.095433297567,187,0.113113768398762
"Ensamblaje de chasis","Turno de noche","Aceptable","Semiautomático",3.55657103378326,1,2000.79314142931,166,0.847790857544169
"Ensamblaje de chasis","Turno de noche","Excelente","Manual",3.14389582630247,8,1588.33891549148,102,0.446819441858679
"Ensamblaje de chasis","Turno de mañana","Deficiente","Automático",1.94194505456835,5,4064.31823212188,125,0.401880389312282
"Ensamblaje de interior","Turno de noche","Excelente","Semiautomático",1.34745142725296,8,2733.74166956637,106,0.432214202126488
"Ensamblaje de chasis","Turno de tarde","Buena","Automático",2.72501220251434,2,2812.45590641629,126,0.663604413857684
"Ensamblaje de motor","Turno de mañana","Aceptable","Manual",3.49411576613784,8,825.808453955688,186,0.182369325077161
"Ensamblaje de chasis","Turno de noche","Excelente","Semiautomático",2.56101927370764,2,2053.12594887801,143,0.838338759960607
"Ensamblaje de chasis","Turno de noche","Buena","Semiautomático",3.08203308586963,5,3903.46223581582,148,0.917372975032777
"Ensamblaje de chasis","Turno de tarde","Deficiente","Automático",2.49971196847036,10,2233.03570528515,195,0.798301063245162
"Ensamblaje de interior","Turno de noche","Buena","Manual",2.06248119613156,3,531.144679524004,178,0.503056281711906
"Ensamblaje de interior","Turno de mañana","Aceptable","Manual",3.89441247703508,10,3732.97653603368,146,0.254459497053176
"Ensamblaje de chasis","Turno de mañana","Aceptable","Semiautomático",3.76678376249038,2,3006.3619952416,119,0.667245435761288
"Ensamblaje de chasis","Turno de mañana","Buena","Manual",1.61377811990678,2,815.37181942258,198,0.941099374787882
"Ensamblaje de motor","Turno de tarde","Deficiente","Semiautomático",3.86470879823901,2,2065.17438986339,190,0.980761029291898
"Ensamblaje de chasis","Turno de mañana","Excelente","Manual",3.62197849713266,1,2358.52499562316,144,0.0522972738835961
"Ensamblaje de motor","Turno de noche","Aceptable","Automático",3.0920344942715,8,1902.44839515071,118,0.382404521340504
"Ensamblaje de motor","Turno de tarde","Buena","Manual",2.53778135450557,3,3819.05585690401,165,0.806177586782724
"Ensamblaje de motor","Turno de noche","Excelente","Automático",2.44244954618625,8,2247.53127747681,121,0.547887698980048
"Ensamblaje de chasis","Turno de mañana","Excelente","Automático",1.60540276928805,4,3287.40925167222,136,0.304464521585032
"Ensamblaje de motor","Turno de mañana","Excelente","Manual",1.30068806302734,3,3305.93570519704,149,0.402304826537147
"Ensamblaje de chasis","Turno de mañana","Buena","Semiautomático",2.41776662389748,2,4110.85548996925,132,0.0275957863777876
"Ensamblaje de motor","Turno de mañana","Aceptable","Manual",1.9365389442537,5,3443.30571778119,167,0.848993687191978
"Ensamblaje de interior","Turno de mañana","Buena","Automático",3.31719791539945,4,3557.53903102595,181,0.031033702660352
"Ensamblaje de chasis","Turno de tarde","Aceptable","Manual",3.70322200399823,3,2348.39670511428,161,0.652291831560433
"Ensamblaje de chasis","Turno de noche","Buena","Semiautomático",2.00568785239011,10,3484.63914124295,200,0.596841104794294
"Ensamblaje de interior","Turno de noche","Aceptable","Semiautomático",3.47183273918927,2,622.029999271035,198,0.312611038098112
"Ensamblaje de motor","Turno de noche","Aceptable","Semiautomático",1.66009857947938,8,4171.68034089264,141,0.986910100327805
"Ensamblaje de motor","Turno de mañana","Deficiente","Automático",3.2983712151181,8,837.692505912855,155,0.828926939051598
"Ensamblaje de interior","Turno de mañana","Deficiente","Manual",2.68212355324067,10,4554.34381507803,124,0.607717930106446
"Ensamblaje de chasis","Turno de mañana","Deficiente","Manual",2.27036661328748,2,818.72255646158,138,0.138112635817379
"Ensamblaje de chasis","Turno de tarde","Excelente","Manual",3.51570936478674,6,1360.0552250864,113,0.870927162235603
"Ensamblaje de motor","Turno de noche","Deficiente","Automático",1.86196176265366,4,3996.18161655962,160,0.577087742974982
"Ensamblaje de interior","Turno de noche","Buena","Semiautomático",2.41216210206039,7,1414.10076653119,190,0.799172570696101
"Ensamblaje de motor","Turno de mañana","Deficiente","Semiautomático",3.34253360005096,1,2316.94029737264,173,0.0281962060835212
"Ensamblaje de chasis","Turno de noche","Excelente","Automático",1.24815051187761,7,2507.81282666139,122,0.256357740378007
"Ensamblaje de chasis","Turno de tarde","Deficiente","Automático",2.18355265073478,4,3228.32960938103,173,0.756766913458705
"Ensamblaje de chasis","Turno de noche","Aceptable","Automático",1.28698422200978,3,3094.0058423439,120,0.829948304919526
"Ensamblaje de chasis","Turno de tarde","Buena","Semiautomático",1.39999970793724,7,767.7804492414,140,0.523712248774245
"Ensamblaje de chasis","Turno de noche","Excelente","Semiautomático",1.66337853414007,9,1321.99288229458,138,0.63793759024702
"Ensamblaje de motor","Turno de noche","Aceptable","Manual",1.82235862314701,3,1832.54747802857,169,0.487905605696142
"Ensamblaje de interior","Turno de mañana","Buena","Automático",1.89717774908058,5,2192.35588796437,151,0.581838598009199
"Ensamblaje de chasis","Turno de mañana","Deficiente","Manual",2.12436031759717,1,3708.93173816148,127,0.1003700227011
"Ensamblaje de motor","Turno de mañana","Excelente","Manual",2.47435747762211,2,1063.16863698885,107,0.84161396860145
"Ensamblaje de chasis","Turno de noche","Excelente","Semiautomático",3.63580787042156,4,2431.55045784079,130,0.402493874775246
"Ensamblaje de interior","Turno de tarde","Deficiente","Manual",3.24618948623538,7,636.696673347615,189,0.772604613797739
"Ensamblaje de motor","Turno de mañana","Excelente","Semiautomático",3.86555806943215,1,2543.75901236199,161,0.951457850402221
"Ensamblaje de chasis","Turno de noche","Deficiente","Automático",1.99576063919812,4,4074.38657211605,123,0.265468981815502
"Ensamblaje de chasis","Turno de noche","Buena","Manual",3.47248838911764,3,2620.7442333689,136,0.829297498334199
"Ensamblaje de motor","Turno de mañana","Buena","Automático",1.39799615019001,1,1563.75324807595,157,0.6536610936746
"Ensamblaje de chasis","Turno de mañana","Deficiente","Semiautomático",1.37409056141041,1,4491.65757501032,182,0.79851508140564
"Ensamblaje de chasis","Turno de mañana","Deficiente","Semiautomático",3.18432913534343,4,1066.7875331128,183,0.186151454690844
"Ensamblaje de interior","Turno de tarde","Excelente","Semiautomático",2.64526248560287,9,1711.90129534807,110,0.75470757484436
"Ensamblaje de motor","Turno de mañana","Aceptable","Automático",2.82555223838426,2,4471.06166207232,190,0.735920368460938
"Ensamblaje de interior","Turno de mañana","Deficiente","Automático",1.36884010164067,10,3877.33919848688,170,0.751785748638213
"Ensamblaje de motor","Turno de tarde","Excelente","Automático",3.62930409680121,9,939.618236967362,155,0.332614484475926
"Ensamblaje de motor","Turno de noche","Aceptable","Semiautomático",3.5270464469213,5,4170.05157156382,143,0.0575486242305487
